,class,details
95,1910," manufacture of coke oven products Production of coke and semi-coke products Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
96,1920," Manufacture of refined petroleum products Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals Manufacture of paraffin wax Bottling of LPG/CNG Manufacture of hard-coal and lignite fuel briquettes Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals) nan"
97,2011," manufacture of basic chemicals This class excludes: - extraction of methane, ethane, butane or propane, see 0620 #NAME? refinery, see 1920 - manufacture of nitrogenous fertilizers and nitrogen compounds, see 2012 - manufacture of ammonia, see 2012 - manufacture of ammonium chloride, see 2012 - manufacture of nitrites and nitrates of potassium, see 2012 - manufacture of ammonium carbonates, see 2012 - manufacture of plastics in primary forms, see 2013 - manufacture of synthetic rubber in primary forms, see 2013 - manufacture of prepared dyes and pigments, see 2022 - manufacture of crude glycerol, see 2023 - manufacture of natural essential oils, see 2029 - manufacture of aromatic distilled waters, see 2029 - manufacture of salicylic and O-acetylsalicylic acids, see 2100 Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.) Manufacture of inorganic acids except nitric acid Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo) Manufacture of dyes and pigments from any source in basic form or as concentrate Manufacture of turpentine and resins of vegetable origin Manufacture of basic chemical elements Manufacture of distilled water Manufacture of synthetic aromatic products Manufacture of organic and inorganic chemical compounds n.e.c."
98,2012," manufacture of fertilizers and nitrogen compounds This class excludes: - mining of guano, see 0891 - manufacture of agrochemical products, such as pesticides, see 2021 - operation of compost dumps, see 3821 Manufacture of urea and other organic fertilizers Manufacture of straight mixed, compound or complex inorganic fertilizers Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium) Manufacture of other fertilizers n.e.c."
99,2013," manufacture of plastics and synthetic rubber in primary forms This class excludes: - manufacture of artificial and synthetic fibres, filaments and yarn, see 2030 - shredding of plastic products, see 3830 Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.) Manufacture of synthetic rubber in primary forms Manufacture of mixture of synthetic and natural or rubber like gums"
100,2021," manufacture of pesticides and other agrochemical products This class excludes: - manufacture of fertilizers and nitrogen compounds, see 2012 Manufacture of insecticides, rodenticides, fungicides, herbicides Manufacture of disinfectants (for agricultural and other use) Manufacture of anti-sprouting products, plant growth regulators Manufacture of other agrochemical products n.e.c."
101,2022," manufacture of paints, varnishes and similar coatings, printing ink and mastics This class excludes: - manufacture of dyestuffs and pigments, see 2011 - manufacture of writing and drawing ink, see 2029 Manufacture of paints and varnishes, enamels or lacquers Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry Manufacture of printing ink Manufacture of prepared pigments and other colouring matter of a kind used in the manufacture of paints or by artists or other painters Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c."
102,2023," manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations This class excludes: - manufacture of separate, chemically defined compounds, see 2011 - manufacture of glycerol, synthesized from petroleum products, see 2011 - extraction and refining of natural essential oils, see 2029 Manufacture of soap all forms Manufacture of cleaning and polishing products (preparations for perfuming or deodorizing rooms; artificial waxes and prepared waxes; polishes and creams for leather, wood, glass, metal etc.; scouring pastes and powders, including paper, wadding etc. coated or covered with these) Manufacture of detergent and similar washing agents excluding soap Manufacture of perfumes and cologne de-eau Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.) Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of shampoos, hair sprays, hair fixers, hair oils, hair creams, hair dyes and bleaches and preparations for permanent waving or straightening of the hair etc.) Manufacture of cosmetics and toileteries (includes manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.) Manufacture of â€œagarbattiâ€� and other preparations which operate by burning Manufacture of other perfumes and toilet preparations n.e.c."
103,2029," manufacture of other chemical products n.e.c. This class excludes: - manufacture of chemically defined products in bulk, see 2011 - manufacture of distilled water, see 2011 - manufacture of synthetic aromatic products, see 2011 - manufacture of printing ink, see 2022 - manufacture of perfumes and toilet preparations, see 2023 - manufacture of asphalt-based adhesives, see 2399 Manufacture of matches Manufacture of explosives, ammunition and fire works Manufacture of essential oils; modification by chemical processes of oils and fats (e.g. by oxidation, polymerization etc.) Manufacture of photographic plates, films, sensitized paper and other sensitized unexposed materials,chemical preparations for photographic uses Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives Manufacture of chemical elements and compounds doped for use in electronics Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries Manufacture of various other chemical products n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)"
104,2030," Manufacture of man-made fibres This class excludes: - spinning of synthetic or artificial fibres, see 1311 - manufacture of yarns made of man-made staple, see 1311 Manufacture of synthetic or artificial filament tow Manufacture of synthetic or artificial filament staple fibre not textured Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn Manufacture of synthetic or artificial mono-filament or strip meDiCinal ChemiCal anD botaniCal proDuCtS"
105,2100," manufacture of pharmaceuticals, medicinal chemical and botanical products This class excludes: - manufacture of herb infusions (mint, vervain, chamomile etc.), see 1079 - wholesale of pharmaceuticals, see 4649 - retail sale of pharmaceuticals, see 4772 - packaging of pharmaceuticals, see 8292 - manufacture of dental fillings and dental cement, see 3250 - research and development for pharmaceuticals and biotech pharmaceuticals, see 7210 Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc. Manufacture of allopathic pharmaceutical preparations Manufacture of `ayurvedicâ€™ or `unaniâ€™ pharmaceutical preparation Manufacture of homoeopathic or biochemic pharmaceutical preparations Manufacture of veterinary preparations Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc. Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc."
106,2211," manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres This class excludes: - manufacture of tube repair materials, see 2219 - tyre and tube repair, fitting or replacement, see 4520 Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws Retreading of tyres; replacing or rebuilding of tread on used pneumatic tyres Manufacture of rubber tyres and tubes n.e.c."
107,2219," manufacture of other rubber products This class excludes: - manufacture of tyre cord fabrics, see 1329 - manufacture of apparel of elastic fabrics, see 1410 - manufacture of rubber footwear, see 1520 - manufacture of glues and adhesives based on rubber, see 2029 - manufacture of â€œcamelbackâ€� strips, see 2211 - manufacture of inflatable rafts and boats, see 3011, 3012 - manufacture of mattresses of uncovered cellular rubber, see 3100 - manufacture of rubber sports requisites, except apparel, see 3230 - manufacture of rubber games and toys (including childrenâ€™s wading pools, inflatable children rubber boats, inflatable rubber animals, balls and the like), see 3240 - reclaiming of rubber, see 3830 Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc. Manufacture of rubber conveyor or transmission belts or belting Manufacture of rubber contraceptives Manufacture of rubber balloons Manufacture of other rubber products n.e.c."
108,2220," manufacture of plastics products This class excludes: - manufacture of plastic luggage, see 1512 - manufacture of plastic footwear, see 1520 - manufacture of plastics in primary forms, see 2013 - manufacture of articles of synthetic or natural rubber, see 221 - manufacture of plastic furniture, see 3100 - manufacture of mattresses of uncovered cellular plastic, see 3100 - manufacture of plastic sports requisites, see 3230 - manufacture of plastic games and toys, see 3240 - manufacture of plastic medical and dental appliances, see 3250 - manufacture of plastic ophthalmic goods, see 3250 #NAME? plastics, see 3290 Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.) Manufacture of tableware, kitchenware and other household articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.) Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary-ware of plastics Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and similar articles) Manufacture of spectacle frames of plastic Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of plastics] Manufacture of polymer/ synthetic / PVC water storage tanks Manufacture of other plastics products n.e.c."
109,2310," manufacture of glass and glass products This class excludes: - manufacture of woven fabrics of glass yarn, see 1312 - manufacture of optical elements optically worked, see 2670 #NAME? of images, see 2731 - manufacture of glass toys, see 3240 #NAME? 3250 Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass Manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods Manufacture of laboratory or pharmaceutical glassware Manufacture of table or kitchen glassware Manufacture of glass bangles Manufacture of glass decoration pieces and glassware used in imitation jewellery Manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products (including glass beads) n.e.c."
110,2391," manufacture of refractory products Manufacture of refractory mortars, concretes etc. Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods Manufacture of refractory ceramic products Manufacture of other refractory articles n.e.c."
111,2392," manufacture of clay building materials This class excludes: - manufacture of artificial stone (e.g. cultured marble), see 2220 - manufacture of refractory ceramic products, see 2391 Manufacture of bricks Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc. Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings Manufacture of other clay building materials"
112,2393," manufacture of other porcelain and ceramic products This class excludes: - manufacture of artificial stone (e.g. cultured marble), see 2220 - manufacture of refractory ceramic goods, see 2391 - manufacture of ceramic building materials, see 2392 - manufacture of ceramic sanitary fixtures, see 2392 - manufacture of imitation jewellery, see 3212 - manufacture of ceramic toys, see 3240 - manufacture of artificial teeth, see 3250 Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues Manufacture of ceramic tableware and other domestic or toilet articles Manufacture of statuettes and other ornamental ceramic articles Manufacture of electrical insulators and insulating fittings of ceramics Manufacture of ceramic laboratory, chemical and industrial products Manufacture of ceramic products n.e.c."
113,2394," manufacture of cement, lime and plaster This class excludes: - manufacture of refractory mortars, concrete etc., see 2391 - manufacture of articles of cement, see 2395 - manufacture of articles of plaster, see 2395 - manufacture of ready-mixed and dry-mix concrete and mortars, see 2395 - manufacture of cements used in dentistry, see 3250 Manufacture of clinkers and cement Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement Manufacture of asbestos cement Manufacture ofquicklime,slakedlimeandhydrauliclime(excluding chewing lime) Manufacture of plasters of calcined gypsum or calcined sulphate Manufacture of other cement and plaster n.e.c."
114,2395," manufacture of articles of concrete, cement and plaster This class excludes: - manufacture of refractory cements and mortars, see 2391 Manufacture of plaster statues and other plaster products Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.) Manufacture of asbestos sheets Manufacture of R.C.C. bricks and blocks Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders. Manufacture of other cement and asbestos cement products n.e.c."
115,2396," Cutting, shaping and finishing of stone This class includescutting,shapingandfinishingof stonefor use in construction, in cemeteries, on roads, as roofing etc. This class excludes: - production of rough cut stone, i.e. quarrying activities, see 0810 - production of millstones, abrasive stones and similar products, see 2399 - activities of sculptors, see 9000 Cutting, shaping and finishing of stone"
116,2399," manufacture of other non-metallic mineral products n.e.c. This class excludes: - manufacture of glass wool and non-woven glass wool products, see 2310 Manufacture of worked mica and mica products Manufacture of gypsum boards Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material Manufacture of graphite products other than electrical articles Manufacture of other non-metallic mineral products n.e.c. (includes asbestos yarn and fabric, and articles of asbestos yarn and fabric such as clothing, headgear, footwear, cord, string, paper o felt; friction material with a basis of asbestos or other mineral substances or of cellulose including unmounted articles such as friction material; mineral insulating material (slag wool, rockwool and similar mineral wools, exfoliated vermiculite, expanded clays and similar insulating material); products of glass wool for heat-insulating; articles of asphalt or of similar material (e.g. coal tar pitch), gypsum and articles of other mineral substances)"
117,2410," manufacture of basic iron and steel This class excludes: #NAME? of cast-iron, see 2431 - manufacture of seamless tubes and pipes of steel by centrifugal casting, see 2431 - manufacture of tube or pipe fittings of cast-steel, see 2431 Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms Manufacture of direct reduction of iron (sponge iron) and other spongy ferrous products Manufacture of steel in ingots or other primary forms, and other semi- finished products of steel Manufacture of ferro-alloys Manufacture of hot-rolled and cold-rolled products of steel Manufacture of tube and tube fittings of basic iron and steel Manufacture of railway track materials (unassembled rails) of steel Manufacture of wire of steel by cold drawing or stretching Manufacture of other basic iron and steel n.e.c"
118,2420," manufacture of basic precious and other non-ferrous metals This class excludes: - casting of non-ferrous metals, see 2432 - manufacture of precious metal jewellery, see 3211 Manufacture of Copper from ore, and other copper products and alloys Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys Manufacturing of lead, zinc and tin products and alloys Manufacturing of chrome, manganese and nickel products alloys Production and refining of precious metals (such as gold, silver platinum etc.) and alloys Manufacture of other non-ferrous metals n.e.c."
119,2431," Casting of iron and steel This class includes activities of iron and steel foundries Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel Manufacture of other iron and steel casting and products thereof"
120,2432, Casting of non-ferrous metals This class includes: #NAME? etc. #NAME? #NAME? #NAME? #NAME? Casting of non-ferrous metals nan nan
121,2511," manufacture of structural metal products This class excludes: - manufacture of parts for marine or power boilers, see 2513 - manufacture of assembled railway track fixtures, see 2599 - manufacture of sections of ships, see 3011 Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.) Manufacture of industrial frameworks in metal (frameworks for blast furnaces, lifting and handling equipment etc.) Manufacture of other structural metal products"
122,2512," manufacture of tanks, reservoirs and containers of metal This class excludes: #NAME? used for carrying and packing of goods (irrespective of size), see 2599 - manufacture of transport containers, see 2920 - manufacture of tanks (armored military vehicles), see 3040 Manufacture of metal containers for compressed or liquefied gas Manufacture of metal reservoirs, tanks and similar containers Manufacture of central heating boilers and radiators and parts and accessories thereof Manufacture of other containers n.e.c."
123,2513," manufacture of steam generators, except central heating hot water boilers This class excludes: - manufacture of central heating hot-water boilers and radiators, see 2512 - manufacture of boiler-turbine sets, see 2811 - manufacture of isotope separators, see 2829 Manufacture of steam or other vapour generating boilers and hot water boilers other than central heating boilers Manufacture of nuclear reactors, except isotope separators Manufacture of auxiliary plant for use with steam generators (condensers, economizers, superheaters, steam collectors and accumulators) Manufacture of other steam generators (except central heating hot water boilers), n.e.c."
124,2520," manufacture of weapons and ammunition This class includes manufacture of heavy weapons (artillery, mobile guns, rocket launchers, torpedo tubes, heavy machine guns), manufacture of small arms (revolvers, shotguns, light machine guns), manufacture of air or gas guns and pistols, manufacture of war ammunition, manufacture of hunting, sporting or protective firearms and ammunition, manufacture of explosive devices such as bombs, mines and torpedoes This class excludes: - manufacture of percussion caps, detonators or signalling flares, see 2029 - manufacture of cutlasses, swords, bayonets etc., see 2593 #NAME? valuables, see 2910 - manufacture of space vehicles, see 3030 - manufacture of tanks and other fighting vehicles, see 3040 Manufacture of weapons and ammunition"
125,2591," Forging, pressing, stamping and roll-forming of metal; powder metallurgy This class includes, forging, pressing, stamping and roll forming of metal, production of metal objects directly from metal powders by heat treatment (sintering) or under pressure This class excludes: - production of metal powder, see 2410, 2420 Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
126,2592," machining; treatment and coating of metals This class includes, plating, anodizing etc. of metal, heat treatment of metal, deburring, sandblasting, tumbling, cleaning of metals, colouring, engraving, printing of metal non-metallic coating of metal, hardening, buffing of metal, boring, turning, milling, eroding, planing, lapping, broaching, levelling, sawing, grinding, sharpening, polishing, welding, splicing etc. of metalwork pieces, cutting of and writing on metals by means of laser beams This class excludes: - activities of farriers, see 0162 - rolling precious metals onto base metals or other metals, see 2420 Machining; treatment and coating of metals"
127,2593," manufacture of cutlery, hand tools and general hardware This class excludes: - manufacture of hollowware (pots, kettles etc.), dinnerware (bowls, platters etc.) or flatware (plates, saucers etc.), see 2599 - manufacture of power-driven hand tools, see 2818 - manufacture of ingot moulds, see 2823 - manufacture of cutlery of precious metal, see 3211 Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers, razors, razor blades, scissors, hair clippers etc. Manufacture of hand tools (non-power-driven) for agricultural/horticulture/ forestry Manufacture of hand tools such as pliers, screwdrivers, press tools, blacksmithsâ€™ tools, drills, punches, milling cutters etc. Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles etc. Manufacture of general hardware (saws and sawblades, including circular sawblades and chainsaw blades, moulding boxes, vices, clamps etc.)"
128,2599," manufacture of other fabricated metal products n.e.c. This class excludes: - manufacture of tanks and reservoirs, see 2512 - manufacture of swords, bayonets, see 2593 - manufacture of clock or watch springs, see 2652 - manufacture of wire and cable for electricity transmission, see 2732 - manufacture of power transmission chain, see 2814 - manufacture of shopping carts, see 3099 - manufacture of metal furniture, see 3100 - manufacture of sports goods, see 3230 - manufacture of games and toys, see 3240 Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded products) Manufacture of containers such as tins and cans for food products and boxes Manufacture of metal cable and other articles made of wire (except for electric transmission) Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories) Manufacture of metal sanitaryware such as baths, sinks, washbasins and similar articles Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes Manufacture of other fabricated metal products n.e.c. nan"
129,2610," manufacture of electronic components This class includes the manufacture of semiconductors and other components for electronic applications This class excludes: - printing of smart cards, see 1811 - manufacture of modems (carrier equipment), see 2630 - manufacture of computer and television displays, see 2620, 2640 - manufacture of X-ray tubes and similar irradiation devices, see 2660 - manufacture of optical equipment and instruments, see 2670 - manufacture of similar devices for electrical applications, see 27 - manufacture of lighting ballasts, see 2710 - manufacture of electrical relays, see 2710 - manufacture of electrical wiring devices, see 2733 #NAME? complete equipment classification Manufacture of electronic capacitors, resistors, chokes, coils, trasformers (electronic) and similar components Manufacture of electron tubes, diodes, transistors and related discrete devices Manufacture of integrated circuits (analog, digital or hybrid) Manufacture of bare printed circuit boards, loading of components onto printed circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems) Manufacture of display components (plasma, polymer, LCD, LED) Manufacture of printer cables, monitor cables, USB cables, connectors etc. Manufacture of microprocessors Manufacture of other electronic components n.e.c"
130,2620," manufacture of computers and peripheral equipment This class excludes: #NAME? 1820 #NAME? computers and peripherals, see 2610 - manufacture of internal/external computer modems, see 2610 - manufacture of interface cards, modules and assemblies, see 2610 - manufacture of modems, carrier equipment, see 2630 #NAME? equipment (e.g. bridges, routers, gateways), see 2630 #NAME? players, see 2640 - manufacture of television monitors and displays, see 2640 - manufacture of video game consoles, see 2640 #NAME? or other devices, see 2680 Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers and computer servers Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives, CD, DVD and other storage devices Manufacture of monitors, keyboards, all types of mice, joysticks, and trackball accessories, dedicated computer terminals etc. Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers) Manufacture of computer terminals, like automatic teller machines (ATMâ€™s), point-of-sale (POS) terminals not mechanically operated Manufacture of computers and peripheral equipment n.e.c."
131,2630," manufacture of communication equipment This class includes the manufacture of telephone and data communications equipment used to move signals electronically over wires or through the air such as radio and television broadcast and wireless communications equipment This class excludes: - manufacture of computers and computer peripheral equipment, see 2620 - manufacture of consumer audio and video equipment, see 2640 #NAME? communications equipment, see 2610 - manufacture of internal/external computer modems (PC-type), see 2610 - manufacture of electronic scoreboards, see 2790 - manufacture of traffic lights, see 2790 Manufacture of radio and television studio and broadcasting equipment, including television cameras Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX Manufacture of data communications equipment, such as bridges, routers, and gateways Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT Manufacture of pagers, cellular phones and other mobile communication equipment Manufacture of other communication equipments n.e.c."
132,2640," manufacture of consumer electronics This class includes the manufacture of electronic audio and video equipment for home entertainment, motor vehicle, public address systems and musical instrument amplification Sub class Description This class excludes: #NAME? 1820 #NAME? 2620 - manufacture of telephone answering machines, see 2630 - manufacture of paging equipment, see 2630 - manufacture of remote control devices (radio and infrared), see 2630 - manufacture of broadcast studio equipment such as reproduction equipment, transmitting and receiving antennas, commercial video cameras, see 2630 - manufacture of electronic games with fixed (non-replaceable) software, see 3240 Manufacture of televisions, television monitors and displays Manufacture video cassette recorders and duplicating equipment Manufacture of audio recording and duplicating systems Manufacture of radio receivers Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer) Manufacture of CD and DVD players Manufacture of other electronic consumer goods n.e.c. (this includes non- television video camera)"
133,2651," manufacture of measuring, testing, navigating and control equipment This class excludes: - manufacture of telephone answering machines, see 2630 - manufacture of medical testing and irradiation equipment, see 2660 - manufacture of optical positioning equipment, see 2670 - manufacture of dictating machines, see 2817 - manufacture of simple mechanical measuring tools (e.g. measuring tapes, calipers), see manufacturing class according to main material used - installation of industrial process control equipment, see 3320 Manufacture of physical properties testing and inspection equipment Manufacture of automotive emissions testing equipment Manufacture of consumption meters for electricity, water or gas, flow meters and counting meters Manufacture of meteorological instruments Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc. Manufacture of industrial process control equipment Manufacture of other measuring n.e.c."
134,2652," manufacture of watches and clocks This class excludes: - manufacture of non-metal watch bands (textile, leather, plastic), see 1512 - manufacture of watch bands of precious metal, see 3211 - manufacture of watch bands of non-precious metal, see 3212 Manufacture of watches and clocks, including instrument panel clocks (except time-recording equipment) Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals Manufacture of time-recording equipments such as time-clock, parking meters etc. Manufacture of other watches and clocks n.e.c."
135,2660," manufacture of irradiation, electromedical and electrotherapeutic equipment This class includes manufacture of electromedical and electrotherapeutic apparatus, such as MRI scanner, CT scanner, medical ultrasound equipment, pacemakers, hearing aid, electrocardiographs etc. and irradiation apparatus. Irradiation can take the form of beta-rays, gamma-rays, X-rays, or other ionizing radiation This class excludes: - manufacture of tanning beds, see 2829 Manufacture of irradiation, electromedical and electrotherapeutic equipment"
136,2670," manufacture of optical instruments and equipment This class includes the manufacture of optical instruments and lens(except opthalmic) such binoculars, microscopes, prisms, film and digital cameras etc. This class excludes: - manufacture of computer projectors, see 2620 - manufacture of commercial TV and video cameras, see 2630 - manufacture of household-type video cameras, see 2640 #NAME? manufacturing class by type of machinery (e.g. medical laser equipment, see 2660) - manufacture of photocopy machinery, see 2817 - manufacture of ophthalmic goods, see 3250 Manufacture of optical instruments and equipment"
137,2680, manufacture of magnetic and optical media This class includes manufacture of blank magnetic audio and video tapes and cassettes and blank optical discs This class excludes: #NAME? 1820 Manufacture of magnetic and optical media
138,2710," manufacture of electric motors, generators, transformers and electricity distribution and control apparatus This class includes the manufacture of power, distribution, and specialty transformers; electric motors, generators and motor generator sets; switchgear and switchboard apparatus; relays and industrial controls. The electrical equipment in this class is for distribution level voltages. This class excludes: #NAME? 2610 #NAME? instruments, see 2651 #NAME? snap switches, see 2733 - manufacture of electric welding and soldering equipment, see 2790 - manufacture of solid state inverters, rectifiers and converters, see 2790 - manufacture of turbine-generator sets, see 2811 #NAME? engines, see 2930 Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator set units) Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators Manufacture of electric motors (except internal combustion engine starting motors) Manufacture of electricitydistributionand controlapparatus(electrical apparatus for switchingorprotectingelectricalcircuits(e.g.switches, fuses, voltage limiters, surge suppressors, junction boxes etc.) for a voltage exceeding 1000 volts; similar apparatus (including relays, sockets etc.) for a voltage not exceeding 1000 volts; boards, panels, consoles, cabinets and other bases equipped with two or more of the above apparatus for electricity control or distribution of electricity including power capacitors.)"
139,2720," manufacture of batteries and accumulators Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)"
140,2731," Manufacture of fibreopticcablesfor datatransmissionor live transmission of images This class includes manufacture of fiber optic cable for data transmission or live transmission of images This class excludes: - manufacture of glass fibres or strand, see 2310 #NAME? attachments, see depending on application e.g. 2610 Manufacture of fibre optic cables for data transmission or live transmission of images"
141,2732," manufacture of other electronic and electric wires and cables This class includes manufacture of insulated wire and cable, made of steel, copper, aluminium This class excludes: - manufacture (drawing) of wire, see 2410, 2420 #NAME? cable sets or assemblies, see 2610 #NAME? assemblies for automotive applications, see 2930 Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)"
142,2733," manufacture of wiring devices This class includes the manufacture of current-carrying and non current- carrying wiring devices for electrical circuits regardless of material This class excludes: - manufacture of ceramic insulators, see 2393 #NAME?component-typeconnectors,socketsand switches, see 2610 Manufacture of switch, switch box, lamp holders, lugs etc. Manufacture of other wiring devices and fittings n.e.c."
143,2740," manufacture of electric lighting equipment This class includes manufacture of electric light bulbs and tubes, and parts and components (except glass blanks for electric light bulbs); electric lighting fixture components (except current-carrying wiring devices). Non-electrical lighting equipment is also included in this class This class excludes: - manufacture of glassware and glass parts for lighting fixtures, see 2310 #NAME? 2733 - manufacture of ceiling fans or bath fans with integrated lighting fixtures, see 2750 #NAME? pedestrian signalling equipment, see 2790 Manufacture of electric lighting equipment"
144,2750," manufacture of domestic appliances This class excludes: #NAME? air-conditioners, attic fans, permanent mount space heaters and commercial ventilation and exhaust fans, commercial-type cooking equipment; commercial-type laundry, dry-cleaning and pressing equipment; commercial, industrial and institutional vacuum cleaners, see division 28 - manufacture of household-type sewing machines, see 2826 - installation of central vacuum cleaning systems, 4329 Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc. Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc Manufacture of electric fans (except exhaust fans) Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers Manufacture of other domestic appliances n.e.c."
