,group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
1321,,,21009,Manufacture of other pharmaceutical and botanical products n.e.c. like hina,,,,,,,,
1322,,,,powder etc.,,,,,,,,
1323,,,,DiviSion 22 : manuFaCture oF rubber anD plaStiCS proDuCtS,,,,,,,,
1324,221,,,manufacture of rubber products,,,,,,,,
1325,,2211,2211,manufacture of rubber tyres and tubes; retreading and rebuilding of,,,,,,,,
1326,,,,rubber tyres,,,,,,,,
1327,,,,This class excludes:,,,,,,,,
1328,,,,"- manufacture of tube repair materials, see 2219",,,,,,,,
1329,,,,"- tyre and tube repair, fitting or replacement, see 4520",,,,,,,,
1330,,,22111,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles,",,,,,,,,
1331,,,,"scooters, three-wheelers, tractors and aircraft",,,,,,,,
1332,,,22112,Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws,,,,,,,,
1333,,,22113,Retreading of tyres; replacing or rebuilding of tread on used pneumatic,,,,,,,,
1334,,,,tyres,,,,,,,,
1335,,,22119,Manufacture of rubber tyres and tubes n.e.c.,,,,,,,,
1336,,2219,2219,manufacture of other rubber products,,,,,,,,
1337,,,,This class excludes:,,,,,,,,
1338,,,,"- manufacture of tyre cord fabrics, see 1329",,,,,,,,
1339,,,,"- manufacture of apparel of elastic fabrics, see 1410",,,,,,,,
1340,,,,"- manufacture of rubber footwear, see 1520",,,,,,,,
1341,,,,"- manufacture of glues and adhesives based on rubber, see 2029",,,,,,,,
1342,,,,"- manufacture of “camelback” strips, see 2211",,,,,,,,
1343,,,,"- manufacture of inflatable rafts and boats, see 3011, 3012",,,,,,,,
1344,,,,"- manufacture of mattresses of uncovered cellular rubber, see 3100",,,,,,,,
1345,,,,"- manufacture of rubber sports requisites, except apparel, see 3230",,,,,,,,
1346,,,,"- manufacture of rubber games and toys (including children’s wading pools,",,,,,,,,
1347,,,,"inflatable children rubber boats, inflatable rubber animals, balls and the",,,,,,,,
1348,,,,"like), see 3240",,,,,,,,
1349,,,,"- reclaiming of rubber, see 3830",,,,,,,,
1350,,,22191,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and",,,,,,,,
1351,,,,profile -shapes etc.,,,,,,,,
1352,,,22192,Manufacture of rubber conveyor or transmission belts or belting,,,,,,,,
1353,,,22193,Manufacture of rubber contraceptives,,,,,,,,
1354,,,22194,Manufacture of rubber balloons,,,,,,,,
1355,,,22199,Manufacture of other rubber products n.e.c.,,,,,,,,
1356,222,,,manufacture of plastics products,,,,,,,,
1357,,2220,2220,manufacture of plastics products,,,,,,,,
1358,,,,This class excludes:,,,,,,,,
1359,,,,"- manufacture of plastic luggage, see 1512",,,,,,,,
1360,,,,"- manufacture of plastic footwear, see 1520",,,,,,,,
1361,,,,"- manufacture of plastics in primary forms, see 2013",,,,,,,,
1362,,,,"- manufacture of articles of synthetic or natural rubber, see 221",,,,,,,,
1363,,,,"- manufacture of plastic furniture, see 3100",,,,,,,,
1364,,,,"- manufacture of mattresses of uncovered cellular plastic, see 3100",,,,,,,,
1365,,,,"- manufacture of plastic sports requisites, see 3230",,,,,,,,
1366,,,,"- manufacture of plastic games and toys, see 3240",,,,,,,,
1367,,,,"- manufacture of plastic medical and dental appliances, see 3250",,,,,,,,
1368,,,,"- manufacture of plastic ophthalmic goods, see 3250",,,,,,,,
1369,,,,#NAME?,,,,,,,,
1370,,,,"plastics, see 3290",,,,,,,,
1371,,,22201,"Manufacture of semi-finished of plastic products (plastic plates, sheets,",,,,,,,,
1372,,,,"blocks, film, foil, strip etc.)",,,,,,,,
1373,,,22202,"Manufacture of tableware, kitchenware and other household articles and",,,,,,,,
1374,,,,"toilet articles of plastic, including manufacture of vacuum flasks and other",,,,,,,,
1375,,,,vacuum vessels,,,,,,,,
1376,,,22203,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks,",,,,,,,,
1377,,,,"containers, boxes, cases, carboys, bottles etc.)",,,,,,,,
1378,,,22204,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing",,,,,,,,
1379,,,,cisterns and similar sanitary-ware of plastics,,,,,,,,
1380,,,22205,"Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and",,,,,,,,
1381,,,,similar articles),,,,,,,,
1382,,,22206,Manufacture of spectacle frames of plastic,,,,,,,,
1383,,,22207,Manufacture of moulded industrial accessories of plastics [including,,,,,,,,
1384,,,,electrical insulating fittings of plastics],,,,,,,,
1385,,,22208,Manufacture of polymer/ synthetic / PVC water storage tanks,,,,,,,,
1386,,,22209,Manufacture of other plastics products n.e.c.,,,,,,,,
1387,DiviSion 23 : manuFaCture oF other non-metalliC mineral proDuCtS,,,,,,,,,,,
1388,231,,,manufacture of glass and glass products,,,,,,,,
1389,,2310,,manufacture of glass and glass products,,,,,,,,
1390,,,,This class excludes:,,,,,,,,
1391,,,,"- manufacture of woven fabrics of glass yarn, see 1312",,,,,,,,
1392,,,,"- manufacture of optical elements optically worked, see 2670",,,,,,,,
1393,,,,#NAME?,,,,,,,,
1394,,,,"of images, see 2731",,,,,,,,
1395,,,,"- manufacture of glass toys, see 3240",,,,,,,,
1396,,,,#NAME?,,,,,,,,
1397,,,3250,3250,,,,,,,,
1398,,,23101,Manufacture of glass in primary or semi-manufactured forms (such as sheets,,,,,,,,
1399,,,,"& plate glass) including mirror sheets and wired, coloured, tinted, toughened",,,,,,,,
1400,,,,or laminated glass,,,,,,,,
1401,,,23102,Manufacture of glass fibre (including glass-wool) and yarn of glass fibre;,,,,,,,,
1402,,,,"nonwoven glass fabrics, mats, boards and similar non-woven products",,,,,,,,
1403,,,23103,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or",,,,,,,,
1404,,,,packing of goods,,,,,,,,
1405,,,23104,Manufacture of laboratory or pharmaceutical glassware,,,,,,,,
1406,,,23105,Manufacture of table or kitchen glassware,,,,,,,,
1407,,,23106,Manufacture of glass bangles,,,,,,,,
1408,,,23107,Manufacture of glass decoration pieces and glassware used in imitation,,,,,,,,
1409,,,,jewellery,,,,,,,,
1410,,,23109,Manufacture of other glassware/glass products: articles of glass used in,,,,,,,,
1411,,,,"construction such as glass blocks; clock or watch glasses, optical glass",,,,,,,,
1412,,,,and optical glass elements not optically worked; and other glass products,,,,,,,,
1413,,,,(including glass beads) n.e.c.,,,,,,,,
1414,239,,,manufacture of non-metallic mineral products n.e.c.,,,,,,,,
1415,,2391,,manufacture of refractory products,,,,,,,,
1416,,,23911,"Manufacture of refractory mortars, concretes etc.",,,,,,,,
1417,,,23912,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic",,,,,,,,
1418,,,,constructional goods,,,,,,,,
1419,,,23913,Manufacture of refractory ceramic products,,,,,,,,
1420,,,23919,Manufacture of other refractory articles n.e.c.,,,,,,,,
1421,,2392,,manufacture of clay building materials,,,,,,,,
1422,,,,This class excludes:,,,,,,,,
1423,,,,"- manufacture of artificial stone (e.g. cultured marble), see 2220",,,,,,,,
1424,,,,"- manufacture of refractory ceramic products, see 2391",,,,,,,,
1425,,,23921,Manufacture of bricks,,,,,,,,
1426,,,23922,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water-",,,,,,,,
1427,,,,"closet pans, flushing cistern etc.",,,,,,,,
1428,,,23923,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe",,,,,,,,
1429,,,,fittings,,,,,,,,
1430,,,23929,Manufacture of other clay building materials,,,,,,,,
1431,,2393,,manufacture of other porcelain and ceramic products,,,,,,,,
1432,,,,This class excludes:,,,,,,,,
1433,,,,"- manufacture of artificial stone (e.g. cultured marble), see 2220",,,,,,,,
1434,,,,"- manufacture of refractory ceramic goods, see 2391",,,,,,,,
1435,,,,"- manufacture of ceramic building materials, see 2392",,,,,,,,
1436,,,,"- manufacture of ceramic sanitary fixtures, see 2392",,,,,,,,
1437,,,,"- manufacture of imitation jewellery, see 3212",,,,,,,,
1438,,,,"- manufacture of ceramic toys, see 3240",,,,,,,,
1439,,,,"- manufacture of artificial teeth, see 3250",,,,,,,,
1440,,,23931,"Manufacture of articles of porcelain or china, earthenware, imitation",,,,,,,,
1441,,,,"porcelain or common pottery, including earthen statues",,,,,,,,
1442,,,23932,Manufacture of ceramic tableware and other domestic or toilet articles,,,,,,,,
1443,,,23933,Manufacture of statuettes and other ornamental ceramic articles,,,,,,,,
1444,,,23934,Manufacture of electrical insulators and insulating fittings of ceramics,,,,,,,,
1445,,,23935,"Manufacture of ceramic laboratory, chemical and industrial products",,,,,,,,
1446,,,23939,Manufacture of ceramic products n.e.c.,,,,,,,,
1447,,2394,,"manufacture of cement, lime and plaster",,,,,,,,
1448,,,,This class excludes:,,,,,,,,
1449,,,,"- manufacture of refractory mortars, concrete etc., see 2391",,,,,,,,
1450,,,,"- manufacture of articles of cement, see 2395",,,,,,,,
1451,,,,"- manufacture of articles of plaster, see 2395",,,,,,,,
1452,,,,"- manufacture of ready-mixed and dry-mix concrete and mortars, see 2395",,,,,,,,
1453,,,,"- manufacture of cements used in dentistry, see 3250",,,,,,,,
1454,,,23941,Manufacture of clinkers and cement,,,,,,,,
1455,,,23942,"Manufacture of portland cement, aluminous cement, slag cement and similar",,,,,,,,
1456,,,,hydraulic cement,,,,,,,,
1457,,,23943,Manufacture of asbestos cement,,,,,,,,
1458,,,23944,Manufacture of,"quicklime,",slaked,lime,and,hydraulic,,lime,(excluding
1459,,,,chewing lime),,,,,,,,
1460,,,23945,Manufacture of plasters of calcined gypsum or calcined sulphate,,,,,,,,
1461,,,23949,Manufacture of other cement and plaster n.e.c.,,,,,,,,
1462,,2395,,"manufacture of articles of concrete, cement and plaster",,,,,,,,
1463,,,,This class excludes:,,,,,,,,
1464,,,,"- manufacture of refractory cements and mortars, see 2391",,,,,,,,
1465,,,23951,Manufacture of plaster statues and other plaster products,,,,,,,,
1466,,,23952,"Manufacture of articles articles of concrete, cement or artificial stone (tiles,",,,,,,,,
1467,,,,bricks etc.),,,,,,,,
1468,,,23953,Manufacture of asbestos sheets,,,,,,,,
1469,,,23954,Manufacture of R.C.C. bricks and blocks,,,,,,,,
1470,,,23955,Manufacture of hume pipes and other pre-fabricated structural components,,,,,,,,
1471,,,,of cement and/or concrete for building or civil engineering,,,,,,,,
1472,,,23956,"Manufacture of insulation boards of vegetable fibre, straw or wood waste,",,,,,,,,
1473,,,,agglomerated with cement & other mineral binders.,,,,,,,,
1474,,,23959,Manufacture of other cement and asbestos cement products n.e.c.,,,,,,,,
1475,,2396,,"Cutting, shaping and finishing of stone",,,,,,,,
1476,,,,This class includes,"cutting,",shaping,and,finishing,,of stone,,for use in
1477,,,,"construction, in cemeteries, on roads, as roofing etc.",,,,,,,,
1478,,,,This class excludes:,,,,,,,,
1479,,,,"- production of rough cut stone, i.e. quarrying activities, see 0810",,,,,,,,
1480,,,,"- production of millstones, abrasive stones and similar products, see 2399",,,,,,,,
1481,,,,"- activities of sculptors, see 9000",,,,,,,,
1482,,,23960,"Cutting, shaping and finishing of stone",,,,,,,,
1483,,2399,,manufacture of other non-metallic mineral products n.e.c.,,,,,,,,
1484,,,,This class excludes:,,,,,,,,
1485,,,,"- manufacture of glass wool and non-woven glass wool products, see 2310",,,,,,,,
1486,,,23991,Manufacture of worked mica and mica products,,,,,,,,
1487,,,23992,Manufacture of gypsum boards,,,,,,,,
1488,,,23993,"Manufacture of millstones, sharpening or polishing stones and natural or",,,,,,,,
1489,,,,"artificial abrasive products, including abrasive powder or grain on a base of",,,,,,,,
1490,,,,"textile material, paper, paper board or other material",,,,,,,,
1491,,,23994,Manufacture of graphite products other than electrical articles,,,,,,,,
1492,,,23999,Manufacture of other non-metallic mineral products n.e.c. (includes asbestos,,,,,,,,
1493,,,,"yarn and fabric, and articles of asbestos yarn and fabric such as clothing,",,,,,,,,
1494,,,,"headgear, footwear, cord, string, paper o felt; friction material with a basis",,,,,,,,
1495,,,,of asbestos or other mineral substances or of cellulose including unmounted,,,,,,,,
1496,,,,"articles such as friction material; mineral insulating material (slag wool,",,,,,,,,
1497,,,,"rockwool and similar mineral wools, exfoliated vermiculite, expanded clays",,,,,,,,
1498,,,,and similar insulating material); products of glass wool for heat-insulating;,,,,,,,,
1499,,,,"articles of asphalt or of similar material (e.g. coal tar pitch), gypsum and",,,,,,,,
1500,,,,articles of other mineral substances),,,,,,,,
1501,,,,DiviSion 24 : manuFaCture oF baSiC metalS,,,,,,,,
1502,241,,,manufacture of basic iron and steel,,,,,,,,
1503,,2410,,manufacture of basic iron and steel,,,,,,,,
1504,,,,This class excludes:,,,,,,,,
1505,,,,#NAME?,,,,,,,,
1506,,,,"of cast-iron, see 2431",,,,,,,,
1507,,,,"- manufacture of seamless tubes and pipes of steel by centrifugal casting,",,,,,,,,
1508,,,,see 2431,,,,,,,,
1509,,,,"- manufacture of tube or pipe fittings of cast-steel, see 2431",,,,,,,,
1510,,,24101,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary",,,,,,,,
1511,,,,forms,,,,,,,,
1512,,,24102,Manufacture of direct reduction of iron (sponge iron) and other spongy,,,,,,,,
1513,,,,ferrous products,,,,,,,,
1514,,,24103,"Manufacture of steel in ingots or other primary forms, and other semi-",,,,,,,,
1515,,,,finished products of steel,,,,,,,,
1516,,,24104,Manufacture of ferro-alloys,,,,,,,,
1517,,,24105,Manufacture of hot-rolled and cold-rolled products of steel,,,,,,,,
1518,,,24106,Manufacture of tube and tube fittings of basic iron and steel,,,,,,,,
1519,,,24107,Manufacture of railway track materials (unassembled rails) of steel,,,,,,,,
1520,,,24108,Manufacture of wire of steel by cold drawing or stretching,,,,,,,,
1521,,,24109,Manufacture of other basic iron and steel n.e.c,,,,,,,,
1522,242,,,manufacture of basic precious and other non-ferrous metals,,,,,,,,
1523,,2420,,manufacture of basic precious and other non-ferrous metals,,,,,,,,
1524,,,,This class excludes:,,,,,,,,
1525,,,,"- casting of non-ferrous metals, see 2432",,,,,,,,
1526,,,,"- manufacture of precious metal jewellery, see 3211",,,,,,,,
1527,,,24201,"Manufacture of Copper from ore, and other copper products and alloys",,,,,,,,
1528,,,24202,Manufacture of Aluminium from alumina and by other methods and products,,,,,,,,
1529,,,,of aluminium and alloys,,,,,,,,
1530,,,24203,"Manufacturing of lead, zinc and tin products and alloys",,,,,,,,
1531,,,24204,"Manufacturing of chrome, manganese and nickel products alloys",,,,,,,,
1532,,,24205,"Production and refining of precious metals (such as gold, silver platinum",,,,,,,,
1533,,,,etc.) and alloys,,,,,,,,
1534,,,24209,Manufacture of other non-ferrous metals n.e.c.,,,,,,,,
1535,243,,,Casting of metals,,,,,,,,
1536,,2431,,Casting of iron and steel,,,,,,,,
1537,,,,This class includes activities of iron and steel foundries,,,,,,,,
1538,,,24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings",,,,,,,,
1539,,,,of cast-iron/cast-steel,,,,,,,,
1540,,,24319,Manufacture of other iron and steel casting and products thereof,,,,,,,,
1541,,2432,,Casting of non-ferrous metals,,,,,,,,
1542,,,,This class includes:,,,,,,,,
1543,,,,#NAME?,,,,,,,,
1544,,,,etc.,,,,,,,,
1545,,,,#NAME?,,,,,,,,
1546,,,,#NAME?,,,,,,,,
1547,,,,#NAME?,,,,,,,,
1548,,,,#NAME?,,,,,,,,
1549,,,24320,Casting of non-ferrous metals,,,,,,,,
1550,,,DiviSion 25 : manuFaCture oF FabriCateD metal,,,,,,,,,
1551,,,"proDuCtS, exCept maChinery anD equipment",,,,,,,,,
1552,251,,,"manufacture of structural metal products, tanks, reservoirs and steam",,,,,,,,
1553,,,,generators,,,,,,,,
1554,,2511,,manufacture of structural metal products,,,,,,,,
1555,,,,This class excludes:,,,,,,,,
1556,,,,"- manufacture of parts for marine or power boilers, see 2513",,,,,,,,
1557,,,,"- manufacture of assembled railway track fixtures, see 2599",,,,,,,,
1558,,,,"- manufacture of sections of ships, see 3011",,,,,,,,
1559,,,25111,"Manufacture of doors, windows and their frames, shutters and rolling",,,,,,,,
1560,,,,"shutters, gates and similer articles used on buildings",,,,,,,,
1561,,,25112,Manufacture of metal frameworks or skeletons for construction and parts,,,,,,,,
1562,,,,"thereof ((towers, masts, trusses, bridges etc.)",,,,,,,,
1563,,,25113,Manufacture of industrial frameworks in metal (frameworks for blast,,,,,,,,
1564,,,,"furnaces, lifting and handling equipment etc.)",,,,,,,,
1565,,,25119,Manufacture of other structural metal products,,,,,,,,
1566,,2512,,"manufacture of tanks, reservoirs and containers of metal",,,,,,,,
1567,,,,This class excludes:,,,,,,,,
1568,,,,#NAME?,,,,,,,,
1569,,,,"used for carrying and packing of goods (irrespective of size), see 2599",,,,,,,,
1570,,,,"- manufacture of transport containers, see 2920",,,,,,,,
1571,,,,"- manufacture of tanks (armored military vehicles), see 3040",,,,,,,,
1572,,,25121,Manufacture of metal containers for compressed or liquefied gas,,,,,,,,
1573,,,25122,"Manufacture of metal reservoirs, tanks and similar containers",,,,,,,,
1574,,,25123,Manufacture of central heating boilers and radiators and parts and accessories,,,,,,,,
1575,,,,thereof,,,,,,,,
1576,,,25129,Manufacture of other containers n.e.c.,,,,,,,,
1577,,2513,,"manufacture of steam generators, except central heating hot water",,,,,,,,
1578,,,,boilers,,,,,,,,
1579,,,,This class excludes:,,,,,,,,
1580,,,,"- manufacture of central heating hot-water boilers and radiators, see 2512",,,,,,,,
1581,,,,"- manufacture of boiler-turbine sets, see 2811",,,,,,,,
1582,,,,"- manufacture of isotope separators, see 2829",,,,,,,,
1583,,,25131,Manufacture of steam or other vapour generating boilers and hot water,,,,,,,,
1584,,,,boilers other than central heating boilers,,,,,,,,
1585,,,25132,"Manufacture of nuclear reactors, except isotope separators",,,,,,,,
1586,,,25133,"Manufacture of auxiliary plant for use with steam generators (condensers,",,,,,,,,
1587,,,,"economizers, superheaters, steam collectors and accumulators)",,,,,,,,
1588,,,25139,Manufacture of other steam generators (except central heating hot water,,,,,,,,
1589,,,,"boilers), n.e.c.",,,,,,,,
1590,252,,,manufacture of weapons and ammunition,,,,,,,,
1591,,2520,,manufacture of weapons and ammunition,,,,,,,,
1592,,,,"This class includes manufacture of heavy weapons (artillery, mobile guns,",,,,,,,,
1593,,,,"rocket launchers, torpedo tubes, heavy machine guns), manufacture of small",,,,,,,,
1594,,,,"arms (revolvers, shotguns, light machine guns), manufacture of air or gas",,,,,,,,
1595,,,,"guns and pistols, manufacture of war ammunition, manufacture of hunting,",,,,,,,,
1596,,,,"sporting or protective firearms and ammunition, manufacture of explosive",,,,,,,,
1597,,,,"devices such as bombs, mines and torpedoes",,,,,,,,
1598,,,,This class excludes:,,,,,,,,
1599,,,,"- manufacture of percussion caps, detonators or signalling flares, see 2029",,,,,,,,
1600,,,,"- manufacture of cutlasses, swords, bayonets etc., see 2593",,,,,,,,
1601,,,,#NAME?,,,,,,,,
1602,,,,"valuables, see 2910",,,,,,,,
1603,,,,"- manufacture of space vehicles, see 3030",,,,,,,,
1604,,,,"- manufacture of tanks and other fighting vehicles, see 3040",,,,,,,,
1605,,,25200,Manufacture of weapons and ammunition,,,,,,,,
1606,259,,,manufacture of other fabricated metal products; metalworking service,,,,,,,,
1607,,,,activities,,,,,,,,
1608,,2591,,"Forging, pressing, stamping and roll-forming of metal; powder",,,,,,,,
1609,,,,metallurgy,,,,,,,,
1610,,,,"This class includes, forging, pressing, stamping and roll forming of metal,",,,,,,,,
1611,,,,production of metal objects directly from metal powders by heat treatment,,,,,,,,
1612,,,,(sintering) or under pressure,,,,,,,,
1613,,,,This class excludes:,,,,,,,,
1614,,,,"- production of metal powder, see 2410, 2420",,,,,,,,
1615,,,25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,,,,,
1616,,2592,,machining; treatment and coating of metals,,,,,,,,
1617,,,,"This class includes, plating, anodizing etc. of metal, heat treatment of metal,",,,,,,,,
1618,,,,"deburring, sandblasting, tumbling, cleaning of metals, colouring, engraving,",,,,,,,,
1619,,,,"printing of metal non-metallic coating of metal, hardening, buffing of metal,",,,,,,,,
1620,,,,"boring, turning, milling, eroding, planing, lapping, broaching, levelling,",,,,,,,,
1621,,,,"sawing, grinding, sharpening, polishing, welding, splicing etc. of metalwork",,,,,,,,
1622,,,,"pieces, cutting of and writing on metals by means of laser beams",,,,,,,,
1623,,,,This class excludes:,,,,,,,,
1624,,,,"- activities of farriers, see 0162",,,,,,,,
1625,,,,"- rolling precious metals onto base metals or other metals, see 2420",,,,,,,,
1626,,,25920,Machining; treatment and coating of metals,,,,,,,,
1627,,2593,,"manufacture of cutlery, hand tools and general hardware",,,,,,,,
1628,,,,This class excludes:,,,,,,,,
1629,,,,"- manufacture of hollowware (pots, kettles etc.), dinnerware (bowls, platters",,,,,,,,
1630,,,,"etc.) or flatware (plates, saucers etc.), see 2599",,,,,,,,
1631,,,,"- manufacture of power-driven hand tools, see 2818",,,,,,,,
1632,,,,"- manufacture of ingot moulds, see 2823",,,,,,,,
1633,,,,"- manufacture of cutlery of precious metal, see 3211",,,,,,,,
1634,,,25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,",,,,,,,,
1635,,,,"razors, razor blades, scissors, hair clippers etc.",,,,,,,,
1636,,,25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/,,,,,,,,
1637,,,,forestry,,,,,,,,
1638,,,25933,"Manufacture of hand tools such as pliers, screwdrivers, press tools,",,,,,,,,
1639,,,,"blacksmiths’ tools, drills, punches, milling cutters etc.",,,,,,,,
1640,,,25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for",,,,,,,,
1641,,,,"buildings, furniture, vehicles etc.",,,,,,,,
1642,,,25939,"Manufacture of general hardware (saws and sawblades, including circular",,,,,,,,
1643,,,,"sawblades and chainsaw blades, moulding boxes, vices, clamps etc.)",,,,,,,,
1644,,2599,,manufacture of other fabricated metal products n.e.c.,,,,,,,,
1645,,,,This class excludes:,,,,,,,,
1646,,,,"- manufacture of tanks and reservoirs, see 2512",,,,,,,,
1647,,,,"- manufacture of swords, bayonets, see 2593",,,,,,,,
1648,,,,"- manufacture of clock or watch springs, see 2652",,,,,,,,
1649,,,,"- manufacture of wire and cable for electricity transmission, see 2732",,,,,,,,
1650,,,,"- manufacture of power transmission chain, see 2814",,,,,,,,
1651,,,,"- manufacture of shopping carts, see 3099",,,,,,,,
1652,,,,"- manufacture of metal furniture, see 3100",,,,,,,,
1653,,,,"- manufacture of sports goods, see 3230",,,,,,,,
1654,,,,"- manufacture of games and toys, see 3240",,,,,,,,
1655,,,25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers",,,,,,,,
1656,,,,"and similar non-threaded products and nuts, bolts, screws and other threaded",,,,,,,,
1657,,,,products),,,,,,,,
1658,,,25992,Manufacture of containers such as tins and cans for food products and,,,,,,,,
1659,,,,boxes,,,,,,,,
1660,,,25993,Manufacture of metal cable and other articles made of wire (except for,,,,,,,,
1661,,,,electric transmission),,,,,,,,
1662,,,25994,"Manufacture of metal household articles (plates, saucers, pots, kettles,",,,,,,,,
1663,,,,"saucepans, frying pans and other non-electrical utensils, small hand-operated",,,,,,,,
1664,,,,kitchen appliances and accessories),,,,,,,,
1665,,,25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and",,,,,,,,
1666,,,,similar articles,,,,,,,,
1667,,,25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal",,,,,,,,
1668,,,,goods for office use (other than office furniture) and other purposes,,,,,,,,
1669,,,25999,Manufacture of other fabricated metal products n.e.c.,,,,,,,,
1670,,,"DiviSion 26 : manuFaCture oF Computer, eleCtroniC anD optiCal proDuCtS.",,,,,,,,,
1671,261,,,manufacture of electronic components,,,,,,,,
1672,,2610,,manufacture of electronic components,,,,,,,,
1673,,,,This class includes the manufacture of semiconductors and other components,,,,,,,,
1674,,,,for electronic applications,,,,,,,,
1675,,,,This class excludes:,,,,,,,,
1676,,,,"- printing of smart cards, see 1811",,,,,,,,
1677,,,,"- manufacture of modems (carrier equipment), see 2630",,,,,,,,
1678,,,,"- manufacture of computer and television displays, see 2620, 2640",,,,,,,,
1679,,,,"- manufacture of X-ray tubes and similar irradiation devices, see 2660",,,,,,,,
1680,,,,"- manufacture of optical equipment and instruments, see 2670",,,,,,,,
1681,,,,"- manufacture of similar devices for electrical applications, see 27",,,,,,,,
1682,,,,"- manufacture of lighting ballasts, see 2710",,,,,,,,
1683,,,,"- manufacture of electrical relays, see 2710",,,,,,,,
1684,,,,"- manufacture of electrical wiring devices, see 2733",,,,,,,,
1685,,,,#NAME?,,,,,,,,
1686,,,,complete equipment classification,,,,,,,,
1687,,,26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers",,,,,,,,
1688,,,,(electronic) and similar components,,,,,,,,
1689,,,26102,"Manufacture of electron tubes, diodes, transistors and related discrete",,,,,,,,
1690,,,,devices,,,,,,,,
1691,,,26103,"Manufacture of integrated circuits (analog, digital or hybrid)",,,,,,,,
1692,,,26104,"Manufacture of bare printed circuit boards, loading of components onto",,,,,,,,
1693,,,,"printed circuit boards; manufacture of interface cards (e.g. sound, video,",,,,,,,,
1694,,,,"controllers, network, modems)",,,,,,,,
1695,,,26105,"Manufacture of display components (plasma, polymer, LCD, LED)",,,,,,,,
1696,,,26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc.",,,,,,,,
1697,,,26107,Manufacture of microprocessors,,,,,,,,
1698,,,26109,Manufacture of other electronic components n.e.c,,,,,,,,
1699,262,,,manufacture of computers and peripheral equipment,,,,,,,,
1700,,2620,,manufacture of computers and peripheral equipment,,,,,,,,
1701,,,,This class excludes:,,,,,,,,
1702,,,,#NAME?,,,,,,,,
1703,,,1820,1820,,,,,,,,
1704,,,,#NAME?,,,,,,,,
1705,,,,"computers and peripherals, see 2610",,,,,,,,
1706,,,,"- manufacture of internal/external computer modems, see 2610",,,,,,,,
1707,,,,"- manufacture of interface cards, modules and assemblies, see 2610",,,,,,,,
1708,,,,"- manufacture of modems, carrier equipment, see 2630",,,,,,,,
1709,,,,#NAME?,,,,,,,,
1710,,,,"equipment (e.g. bridges, routers, gateways), see 2630",,,,,,,,
1711,,,,#NAME?,,,,,,,,
1712,,,,"players, see 2640",,,,,,,,
1713,,,,"- manufacture of television monitors and displays, see 2640",,,,,,,,
1714,,,,"- manufacture of video game consoles, see 2640",,,,,,,,
1715,,,,#NAME?,,,,,,,,
1716,,,,"or other devices, see 2680",,,,,,,,
1717,,,26201,"Manufacture of desktop computers, laptop computers, hand-held computers",,,,,,,,
1718,,,,"(e.g. PDA), mainframe computers and computer servers",,,,,,,,
1719,,,26202,Manufacture of magnetic and optical storage devices such as magnetic disk,,,,,,,,
1720,,,,"drives, flash drives, CD, DVD and other storage devices",,,,,,,,
1721,,,26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and",,,,,,,,
1722,,,,"trackball accessories, dedicated computer terminals etc.",,,,,,,,
1723,,,26204,"Manufacture of printers, scanners, including bar code scanners, smart card",,,,,,,,
1724,,,,"readers, virtual reality helmets, computer projectors (video beamers)",,,,,,,,
1725,,,26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s),",,,,,,,,
1726,,,,point-of-sale (POS) terminals not mechanically operated,,,,,,,,
1727,,,26209,Manufacture of computers and peripheral equipment n.e.c.,,,,,,,,
1728,263,,,manufacture of communication equipment,,,,,,,,
1729,,2630,,manufacture of communication equipment,,,,,,,,
1730,,,,This class includes the manufacture of telephone and data communications,,,,,,,,
1731,,,,equipment used to move signals electronically over wires or through the,,,,,,,,
1732,,,,air such as radio and television broadcast and wireless communications,,,,,,,,
1733,,,,equipment,,,,,,,,
1734,,,,This class excludes:,,,,,,,,
1735,,,,"- manufacture of computers and computer peripheral equipment, see 2620",,,,,,,,
