group,class,subclass,details,column5,column6,column7,column8,column9,column10,column11,column12
,,,"- manufacture of plastics in primary forms, see 2013",,,,,,,,
,,,"- manufacture of articles of synthetic or natural rubber, see 221",,,,,,,,
,,,"- manufacture of plastic furniture, see 3100",,,,,,,,
,,,"- manufacture of mattresses of uncovered cellular plastic, see 3100",,,,,,,,
,,,"- manufacture of plastic sports requisites, see 3230",,,,,,,,
,,,"- manufacture of plastic games and toys, see 3240",,,,,,,,
,,,"- manufacture of plastic medical and dental appliances, see 3250",,,,,,,,
,,,"- manufacture of plastic ophthalmic goods, see 3250",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"plastics, see 3290",,,,,,,,
,,22201,"Manufacture of semi-finished of plastic products (plastic plates, sheets,",,,,,,,,
,,,"blocks, film, foil, strip etc.)",,,,,,,,
,,22202,"Manufacture of tableware, kitchenware and other household articles and",,,,,,,,
,,,"toilet articles of plastic, including manufacture of vacuum flasks and other",,,,,,,,
,,,vacuum vessels,,,,,,,,
,,22203,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks,",,,,,,,,
,,,"containers, boxes, cases, carboys, bottles etc.)",,,,,,,,
,,22204,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing",,,,,,,,
,,,cisterns and similar sanitary-ware of plastics,,,,,,,,
,,22205,"Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and",,,,,,,,
,,,similar articles),,,,,,,,
,,22206,Manufacture of spectacle frames of plastic,,,,,,,,
,,22207,Manufacture of moulded industrial accessories of plastics [including,,,,,,,,
,,,electrical insulating fittings of plastics],,,,,,,,
,,22208,Manufacture of polymer/ synthetic / PVC water storage tanks,,,,,,,,
,,22209,Manufacture of other plastics products n.e.c.,,,,,,,,
DiviSion 23 : manuFaCture oF other non-metalliC mineral proDuCtS,,,,,,,,,,,
231,,,manufacture of glass and glass products,,,,,,,,
,2310,,manufacture of glass and glass products,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of woven fabrics of glass yarn, see 1312",,,,,,,,
,,,"- manufacture of optical elements optically worked, see 2670",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"of images, see 2731",,,,,,,,
,,,"- manufacture of glass toys, see 3240",,,,,,,,
,,,#NAME?,,,,,,,,
,,3250,3250,,,,,,,,
,,23101,Manufacture of glass in primary or semi-manufactured forms (such as sheets,,,,,,,,
,,,"& plate glass) including mirror sheets and wired, coloured, tinted, toughened",,,,,,,,
,,,or laminated glass,,,,,,,,
,,23102,Manufacture of glass fibre (including glass-wool) and yarn of glass fibre;,,,,,,,,
,,,"nonwoven glass fabrics, mats, boards and similar non-woven products",,,,,,,,
,,23103,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or",,,,,,,,
,,,packing of goods,,,,,,,,
,,23104,Manufacture of laboratory or pharmaceutical glassware,,,,,,,,
,,23105,Manufacture of table or kitchen glassware,,,,,,,,
,,23106,Manufacture of glass bangles,,,,,,,,
,,23107,Manufacture of glass decoration pieces and glassware used in imitation,,,,,,,,
,,,jewellery,,,,,,,,
,,23109,Manufacture of other glassware/glass products: articles of glass used in,,,,,,,,
,,,"construction such as glass blocks; clock or watch glasses, optical glass",,,,,,,,
,,,and optical glass elements not optically worked; and other glass products,,,,,,,,
,,,(including glass beads) n.e.c.,,,,,,,,
239,,,manufacture of non-metallic mineral products n.e.c.,,,,,,,,
,2391,,manufacture of refractory products,,,,,,,,
,,23911,"Manufacture of refractory mortars, concretes etc.",,,,,,,,
,,23912,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic",,,,,,,,
,,,constructional goods,,,,,,,,
,,23913,Manufacture of refractory ceramic products,,,,,,,,
,,23919,Manufacture of other refractory articles n.e.c.,,,,,,,,
,2392,,manufacture of clay building materials,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of artificial stone (e.g. cultured marble), see 2220",,,,,,,,
,,,"- manufacture of refractory ceramic products, see 2391",,,,,,,,
,,23921,Manufacture of bricks,,,,,,,,
,,23922,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water-",,,,,,,,
,,,"closet pans, flushing cistern etc.",,,,,,,,
,,23923,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe",,,,,,,,
,,,fittings,,,,,,,,
,,23929,Manufacture of other clay building materials,,,,,,,,
,2393,,manufacture of other porcelain and ceramic products,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of artificial stone (e.g. cultured marble), see 2220",,,,,,,,
,,,"- manufacture of refractory ceramic goods, see 2391",,,,,,,,
,,,"- manufacture of ceramic building materials, see 2392",,,,,,,,
,,,"- manufacture of ceramic sanitary fixtures, see 2392",,,,,,,,
,,,"- manufacture of imitation jewellery, see 3212",,,,,,,,
,,,"- manufacture of ceramic toys, see 3240",,,,,,,,
,,,"- manufacture of artificial teeth, see 3250",,,,,,,,
,,23931,"Manufacture of articles of porcelain or china, earthenware, imitation",,,,,,,,
,,,"porcelain or common pottery, including earthen statues",,,,,,,,
,,23932,Manufacture of ceramic tableware and other domestic or toilet articles,,,,,,,,
,,23933,Manufacture of statuettes and other ornamental ceramic articles,,,,,,,,
,,23934,Manufacture of electrical insulators and insulating fittings of ceramics,,,,,,,,
,,23935,"Manufacture of ceramic laboratory, chemical and industrial products",,,,,,,,
,,23939,Manufacture of ceramic products n.e.c.,,,,,,,,
,2394,,"manufacture of cement, lime and plaster",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of refractory mortars, concrete etc., see 2391",,,,,,,,
,,,"- manufacture of articles of cement, see 2395",,,,,,,,
,,,"- manufacture of articles of plaster, see 2395",,,,,,,,
,,,"- manufacture of ready-mixed and dry-mix concrete and mortars, see 2395",,,,,,,,
,,,"- manufacture of cements used in dentistry, see 3250",,,,,,,,
,,23941,Manufacture of clinkers and cement,,,,,,,,
,,23942,"Manufacture of portland cement, aluminous cement, slag cement and similar",,,,,,,,
,,,hydraulic cement,,,,,,,,
,,23943,Manufacture of asbestos cement,,,,,,,,
,,23944,Manufacture of,"quicklime,",slaked,lime,and,hydraulic,,lime,(excluding
,,,chewing lime),,,,,,,,
,,23945,Manufacture of plasters of calcined gypsum or calcined sulphate,,,,,,,,
,,23949,Manufacture of other cement and plaster n.e.c.,,,,,,,,
,2395,,"manufacture of articles of concrete, cement and plaster",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of refractory cements and mortars, see 2391",,,,,,,,
,,23951,Manufacture of plaster statues and other plaster products,,,,,,,,
,,23952,"Manufacture of articles articles of concrete, cement or artificial stone (tiles,",,,,,,,,
,,,bricks etc.),,,,,,,,
,,23953,Manufacture of asbestos sheets,,,,,,,,
,,23954,Manufacture of R.C.C. bricks and blocks,,,,,,,,
,,23955,Manufacture of hume pipes and other pre-fabricated structural components,,,,,,,,
,,,of cement and/or concrete for building or civil engineering,,,,,,,,
,,23956,"Manufacture of insulation boards of vegetable fibre, straw or wood waste,",,,,,,,,
,,,agglomerated with cement & other mineral binders.,,,,,,,,
,,23959,Manufacture of other cement and asbestos cement products n.e.c.,,,,,,,,
,2396,,"Cutting, shaping and finishing of stone",,,,,,,,
,,,This class includes,"cutting,",shaping,and,finishing,,of stone,,for use in
,,,"construction, in cemeteries, on roads, as roofing etc.",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- production of rough cut stone, i.e. quarrying activities, see 0810",,,,,,,,
,,,"- production of millstones, abrasive stones and similar products, see 2399",,,,,,,,
,,,"- activities of sculptors, see 9000",,,,,,,,
,,23960,"Cutting, shaping and finishing of stone",,,,,,,,
,2399,,manufacture of other non-metallic mineral products n.e.c.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of glass wool and non-woven glass wool products, see 2310",,,,,,,,
,,23991,Manufacture of worked mica and mica products,,,,,,,,
,,23992,Manufacture of gypsum boards,,,,,,,,
,,23993,"Manufacture of millstones, sharpening or polishing stones and natural or",,,,,,,,
,,,"artificial abrasive products, including abrasive powder or grain on a base of",,,,,,,,
,,,"textile material, paper, paper board or other material",,,,,,,,
,,23994,Manufacture of graphite products other than electrical articles,,,,,,,,
,,23999,Manufacture of other non-metallic mineral products n.e.c. (includes asbestos,,,,,,,,
,,,"yarn and fabric, and articles of asbestos yarn and fabric such as clothing,",,,,,,,,
,,,"headgear, footwear, cord, string, paper o felt; friction material with a basis",,,,,,,,
,,,of asbestos or other mineral substances or of cellulose including unmounted,,,,,,,,
,,,"articles such as friction material; mineral insulating material (slag wool,",,,,,,,,
,,,"rockwool and similar mineral wools, exfoliated vermiculite, expanded clays",,,,,,,,
,,,and similar insulating material); products of glass wool for heat-insulating;,,,,,,,,
,,,"articles of asphalt or of similar material (e.g. coal tar pitch), gypsum and",,,,,,,,
,,,articles of other mineral substances),,,,,,,,
241,,,manufacture of basic iron and steel,,,,,,,,
,2410,,manufacture of basic iron and steel,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"of cast-iron, see 2431",,,,,,,,
,,,"- manufacture of seamless tubes and pipes of steel by centrifugal casting,",,,,,,,,
,,,see 2431,,,,,,,,
,,,"- manufacture of tube or pipe fittings of cast-steel, see 2431",,,,,,,,
,,24101,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary",,,,,,,,
,,,forms,,,,,,,,
,,24102,Manufacture of direct reduction of iron (sponge iron) and other spongy,,,,,,,,
,,,ferrous products,,,,,,,,
,,24103,"Manufacture of steel in ingots or other primary forms, and other semi-",,,,,,,,
,,,finished products of steel,,,,,,,,
,,24104,Manufacture of ferro-alloys,,,,,,,,
,,24105,Manufacture of hot-rolled and cold-rolled products of steel,,,,,,,,
,,24106,Manufacture of tube and tube fittings of basic iron and steel,,,,,,,,
,,24107,Manufacture of railway track materials (unassembled rails) of steel,,,,,,,,
,,24108,Manufacture of wire of steel by cold drawing or stretching,,,,,,,,
,,24109,Manufacture of other basic iron and steel n.e.c,,,,,,,,
242,,,manufacture of basic precious and other non-ferrous metals,,,,,,,,
,2420,,manufacture of basic precious and other non-ferrous metals,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- casting of non-ferrous metals, see 2432",,,,,,,,
,,,"- manufacture of precious metal jewellery, see 3211",,,,,,,,
,,24201,"Manufacture of Copper from ore, and other copper products and alloys",,,,,,,,
,,24202,Manufacture of Aluminium from alumina and by other methods and products,,,,,,,,
,,,of aluminium and alloys,,,,,,,,
,,24203,"Manufacturing of lead, zinc and tin products and alloys",,,,,,,,
,,24204,"Manufacturing of chrome, manganese and nickel products alloys",,,,,,,,
,,24205,"Production and refining of precious metals (such as gold, silver platinum",,,,,,,,
,,,etc.) and alloys,,,,,,,,
,,24209,Manufacture of other non-ferrous metals n.e.c.,,,,,,,,
243,,,Casting of metals,,,,,,,,
,2431,,Casting of iron and steel,,,,,,,,
,,,This class includes activities of iron and steel foundries,,,,,,,,
,,24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings",,,,,,,,
,,,of cast-iron/cast-steel,,,,,,,,
,,24319,Manufacture of other iron and steel casting and products thereof,,,,,,,,
,2432,,Casting of non-ferrous metals,,,,,,,,
,,,This class includes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,etc.,,,,,,,,
,,,#NAME?,,,,,,,,
,,,#NAME?,,,,,,,,
,,,#NAME?,,,,,,,,
,,,#NAME?,,,,,,,,
,,24320,Casting of non-ferrous metals,,,,,,,,
,,DiviSion 25 : manuFaCture oF FabriCateD metal,,,,,,,,,
,,"proDuCtS, exCept maChinery anD equipment",,,,,,,,,
251,,,"manufacture of structural metal products, tanks, reservoirs and steam",,,,,,,,
,,,generators,,,,,,,,
,2511,,manufacture of structural metal products,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of parts for marine or power boilers, see 2513",,,,,,,,
,,,"- manufacture of assembled railway track fixtures, see 2599",,,,,,,,
,,,"- manufacture of sections of ships, see 3011",,,,,,,,
,,25111,"Manufacture of doors, windows and their frames, shutters and rolling",,,,,,,,
,,,"shutters, gates and similer articles used on buildings",,,,,,,,
,,25112,Manufacture of metal frameworks or skeletons for construction and parts,,,,,,,,
,,,"thereof ((towers, masts, trusses, bridges etc.)",,,,,,,,
,,25113,Manufacture of industrial frameworks in metal (frameworks for blast,,,,,,,,
,,,"furnaces, lifting and handling equipment etc.)",,,,,,,,
,,25119,Manufacture of other structural metal products,,,,,,,,
,2512,,"manufacture of tanks, reservoirs and containers of metal",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"used for carrying and packing of goods (irrespective of size), see 2599",,,,,,,,
,,,"- manufacture of transport containers, see 2920",,,,,,,,
,,,"- manufacture of tanks (armored military vehicles), see 3040",,,,,,,,
,,25121,Manufacture of metal containers for compressed or liquefied gas,,,,,,,,
,,25122,"Manufacture of metal reservoirs, tanks and similar containers",,,,,,,,
,,25123,Manufacture of central heating boilers and radiators and parts and accessories,,,,,,,,
,,,thereof,,,,,,,,
,,25129,Manufacture of other containers n.e.c.,,,,,,,,
,2513,,"manufacture of steam generators, except central heating hot water",,,,,,,,
,,,boilers,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of central heating hot-water boilers and radiators, see 2512",,,,,,,,
,,,"- manufacture of boiler-turbine sets, see 2811",,,,,,,,
,,,"- manufacture of isotope separators, see 2829",,,,,,,,
,,25131,Manufacture of steam or other vapour generating boilers and hot water,,,,,,,,
,,,boilers other than central heating boilers,,,,,,,,
,,25132,"Manufacture of nuclear reactors, except isotope separators",,,,,,,,
,,25133,"Manufacture of auxiliary plant for use with steam generators (condensers,",,,,,,,,
,,,"economizers, superheaters, steam collectors and accumulators)",,,,,,,,
,,25139,Manufacture of other steam generators (except central heating hot water,,,,,,,,
,,,"boilers), n.e.c.",,,,,,,,
252,,,manufacture of weapons and ammunition,,,,,,,,
,2520,,manufacture of weapons and ammunition,,,,,,,,
,,,"This class includes manufacture of heavy weapons (artillery, mobile guns,",,,,,,,,
,,,"rocket launchers, torpedo tubes, heavy machine guns), manufacture of small",,,,,,,,
,,,"arms (revolvers, shotguns, light machine guns), manufacture of air or gas",,,,,,,,
,,,"guns and pistols, manufacture of war ammunition, manufacture of hunting,",,,,,,,,
,,,"sporting or protective firearms and ammunition, manufacture of explosive",,,,,,,,
,,,"devices such as bombs, mines and torpedoes",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of percussion caps, detonators or signalling flares, see 2029",,,,,,,,
,,,"- manufacture of cutlasses, swords, bayonets etc., see 2593",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"valuables, see 2910",,,,,,,,
,,,"- manufacture of space vehicles, see 3030",,,,,,,,
,,,"- manufacture of tanks and other fighting vehicles, see 3040",,,,,,,,
,,25200,Manufacture of weapons and ammunition,,,,,,,,
259,,,manufacture of other fabricated metal products; metalworking service,,,,,,,,
,,,activities,,,,,,,,
,2591,,"Forging, pressing, stamping and roll-forming of metal; powder",,,,,,,,
,,,metallurgy,,,,,,,,
,,,"This class includes, forging, pressing, stamping and roll forming of metal,",,,,,,,,
,,,production of metal objects directly from metal powders by heat treatment,,,,,,,,
,,,(sintering) or under pressure,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- production of metal powder, see 2410, 2420",,,,,,,,
,,25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,,,,,
,2592,,machining; treatment and coating of metals,,,,,,,,
,,,"This class includes, plating, anodizing etc. of metal, heat treatment of metal,",,,,,,,,
,,,"deburring, sandblasting, tumbling, cleaning of metals, colouring, engraving,",,,,,,,,
,,,"printing of metal non-metallic coating of metal, hardening, buffing of metal,",,,,,,,,
,,,"boring, turning, milling, eroding, planing, lapping, broaching, levelling,",,,,,,,,
,,,"sawing, grinding, sharpening, polishing, welding, splicing etc. of metalwork",,,,,,,,
,,,"pieces, cutting of and writing on metals by means of laser beams",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- activities of farriers, see 0162",,,,,,,,
,,,"- rolling precious metals onto base metals or other metals, see 2420",,,,,,,,
,,25920,Machining; treatment and coating of metals,,,,,,,,
,2593,,"manufacture of cutlery, hand tools and general hardware",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of hollowware (pots, kettles etc.), dinnerware (bowls, platters",,,,,,,,
,,,"etc.) or flatware (plates, saucers etc.), see 2599",,,,,,,,
,,,"- manufacture of power-driven hand tools, see 2818",,,,,,,,
,,,"- manufacture of ingot moulds, see 2823",,,,,,,,
,,,"- manufacture of cutlery of precious metal, see 3211",,,,,,,,
,,25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers,",,,,,,,,
,,,"razors, razor blades, scissors, hair clippers etc.",,,,,,,,
,,25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/,,,,,,,,
,,,forestry,,,,,,,,
,,25933,"Manufacture of hand tools such as pliers, screwdrivers, press tools,",,,,,,,,
,,,"blacksmithsâ€™ tools, drills, punches, milling cutters etc.",,,,,,,,
,,25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for",,,,,,,,
,,,"buildings, furniture, vehicles etc.",,,,,,,,
,,25939,"Manufacture of general hardware (saws and sawblades, including circular",,,,,,,,
,,,"sawblades and chainsaw blades, moulding boxes, vices, clamps etc.)",,,,,,,,
,2599,,manufacture of other fabricated metal products n.e.c.,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of tanks and reservoirs, see 2512",,,,,,,,
,,,"- manufacture of swords, bayonets, see 2593",,,,,,,,
,,,"- manufacture of clock or watch springs, see 2652",,,,,,,,
,,,"- manufacture of wire and cable for electricity transmission, see 2732",,,,,,,,
,,,"- manufacture of power transmission chain, see 2814",,,,,,,,
,,,"- manufacture of shopping carts, see 3099",,,,,,,,
,,,"- manufacture of metal furniture, see 3100",,,,,,,,
,,,"- manufacture of sports goods, see 3230",,,,,,,,
,,,"- manufacture of games and toys, see 3240",,,,,,,,
,,25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers",,,,,,,,
,,,"and similar non-threaded products and nuts, bolts, screws and other threaded",,,,,,,,
,,,products),,,,,,,,
,,25992,Manufacture of containers such as tins and cans for food products and,,,,,,,,
,,,boxes,,,,,,,,
,,25993,Manufacture of metal cable and other articles made of wire (except for,,,,,,,,
,,,electric transmission),,,,,,,,
,,25994,"Manufacture of metal household articles (plates, saucers, pots, kettles,",,,,,,,,
,,,"saucepans, frying pans and other non-electrical utensils, small hand-operated",,,,,,,,
,,,kitchen appliances and accessories),,,,,,,,
,,25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and",,,,,,,,
,,,similar articles,,,,,,,,
,,25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal",,,,,,,,
,,,goods for office use (other than office furniture) and other purposes,,,,,,,,
,,25999,Manufacture of other fabricated metal products n.e.c.,,,,,,,,
,,"DiviSion 26 : manuFaCture oF Computer, eleCtroniC anD optiCal proDuCtS.",,,,,,,,,
261,,,manufacture of electronic components,,,,,,,,
,2610,,manufacture of electronic components,,,,,,,,
,,,This class includes the manufacture of semiconductors and other components,,,,,,,,
,,,for electronic applications,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- printing of smart cards, see 1811",,,,,,,,
,,,"- manufacture of modems (carrier equipment), see 2630",,,,,,,,
,,,"- manufacture of computer and television displays, see 2620, 2640",,,,,,,,
,,,"- manufacture of X-ray tubes and similar irradiation devices, see 2660",,,,,,,,
,,,"- manufacture of optical equipment and instruments, see 2670",,,,,,,,
,,,"- manufacture of similar devices for electrical applications, see 27",,,,,,,,
,,,"- manufacture of lighting ballasts, see 2710",,,,,,,,
,,,"- manufacture of electrical relays, see 2710",,,,,,,,
,,,"- manufacture of electrical wiring devices, see 2733",,,,,,,,
,,,#NAME?,,,,,,,,
,,,complete equipment classification,,,,,,,,
,,26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers",,,,,,,,
,,,(electronic) and similar components,,,,,,,,
,,26102,"Manufacture of electron tubes, diodes, transistors and related discrete",,,,,,,,
,,,devices,,,,,,,,
,,26103,"Manufacture of integrated circuits (analog, digital or hybrid)",,,,,,,,
,,26104,"Manufacture of bare printed circuit boards, loading of components onto",,,,,,,,
,,,"printed circuit boards; manufacture of interface cards (e.g. sound, video,",,,,,,,,
,,,"controllers, network, modems)",,,,,,,,
,,26105,"Manufacture of display components (plasma, polymer, LCD, LED)",,,,,,,,
,,26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc.",,,,,,,,
,,26107,Manufacture of microprocessors,,,,,,,,
,,26109,Manufacture of other electronic components n.e.c,,,,,,,,
262,,,manufacture of computers and peripheral equipment,,,,,,,,
,2620,,manufacture of computers and peripheral equipment,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,1820,1820,,,,,,,,
,,,#NAME?,,,,,,,,
,,,"computers and peripherals, see 2610",,,,,,,,
,,,"- manufacture of internal/external computer modems, see 2610",,,,,,,,
,,,"- manufacture of interface cards, modules and assemblies, see 2610",,,,,,,,
,,,"- manufacture of modems, carrier equipment, see 2630",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"equipment (e.g. bridges, routers, gateways), see 2630",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"players, see 2640",,,,,,,,
,,,"- manufacture of television monitors and displays, see 2640",,,,,,,,
,,,"- manufacture of video game consoles, see 2640",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"or other devices, see 2680",,,,,,,,
,,26201,"Manufacture of desktop computers, laptop computers, hand-held computers",,,,,,,,
,,,"(e.g. PDA), mainframe computers and computer servers",,,,,,,,
,,26202,Manufacture of magnetic and optical storage devices such as magnetic disk,,,,,,,,
,,,"drives, flash drives, CD, DVD and other storage devices",,,,,,,,
,,26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and",,,,,,,,
,,,"trackball accessories, dedicated computer terminals etc.",,,,,,,,
,,26204,"Manufacture of printers, scanners, including bar code scanners, smart card",,,,,,,,
,,,"readers, virtual reality helmets, computer projectors (video beamers)",,,,,,,,
,,26205,"Manufacture of computer terminals, like automatic teller machines (ATMâ€™s),",,,,,,,,
,,,point-of-sale (POS) terminals not mechanically operated,,,,,,,,
,,26209,Manufacture of computers and peripheral equipment n.e.c.,,,,,,,,
263,,,manufacture of communication equipment,,,,,,,,
,2630,,manufacture of communication equipment,,,,,,,,
,,,This class includes the manufacture of telephone and data communications,,,,,,,,
,,,equipment used to move signals electronically over wires or through the,,,,,,,,
,,,air such as radio and television broadcast and wireless communications,,,,,,,,
,,,equipment,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of computers and computer peripheral equipment, see 2620",,,,,,,,
,,,"- manufacture of consumer audio and video equipment, see 2640",,,,,,,,
,,,#NAME?,,,,,,,,
,,,"communications equipment, see 2610",,,,,,,,
,,,"- manufacture of internal/external computer modems (PC-type), see 2610",,,,,,,,
,,,"- manufacture of electronic scoreboards, see 2790",,,,,,,,
,,,"- manufacture of traffic lights, see 2790",,,,,,,,
,,26301,"Manufacture of radio and television studio and broadcasting equipment,",,,,,,,,
,,,including television cameras,,,,,,,,
,,26302,"Manufacture of telephone and facsimile equipment, including telephone",,,,,,,,
,,,"answering machines, PBX",,,,,,,,
,,26303,"Manufacture of data communications equipment, such as bridges, routers,",,,,,,,,
,,,and gateways,,,,,,,,
,,26304,"Manufacture of cable television equipment, transmitting and receiving",,,,,,,,
,,,"antenna including dish, VSAT",,,,,,,,
,,26305,"Manufacture of pagers, cellular phones and other mobile communication",,,,,,,,
,,,equipment,,,,,,,,
,,26309,Manufacture of other communication equipments n.e.c.,,,,,,,,
264,,,manufacture of consumer electronics,,,,,,,,
,2640,,manufacture of consumer electronics,,,,,,,,
,,,This class includes the manufacture of electronic audio and video equipment,,,,,,,,
,,,"for home entertainment, motor vehicle, public address systems and musical",,,,,,,,
,,,instrument amplification Sub class Description,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,#NAME?,,,,,,,,
,,1820,1820,,,,,,,,
,,,#NAME?,,,,,,,,
,,2620,2620,,,,,,,,
,,,"- manufacture of telephone answering machines, see 2630",,,,,,,,
,,,"- manufacture of paging equipment, see 2630",,,,,,,,
,,,"- manufacture of remote control devices (radio and infrared), see 2630",,,,,,,,
,,,"- manufacture of broadcast studio equipment such as reproduction equipment,",,,,,,,,
,,,"transmitting and receiving antennas, commercial video cameras, see 2630",,,,,,,,
,,,"- manufacture of electronic games with fixed (non-replaceable) software,",,,,,,,,
,,,see 3240,,,,,,,,
,,26401,"Manufacture of televisions, television monitors and displays",,,,,,,,
,,26402,Manufacture video cassette recorders and duplicating equipment,,,,,,,,
,,26403,Manufacture of audio recording and duplicating systems,,,,,,,,
,,26404,Manufacture of radio receivers,,,,,,,,
,,26405,"Manufacture of stereo equipment, speaker systems, amplifiers for musical",,,,,,,,
,,,"instruments and public address systems, microphones, karaoke machines,",,,,,,,,
,,,"headphones (e.g. radio, stereo, computer)",,,,,,,,
,,26406,Manufacture of CD and DVD players,,,,,,,,
,,26409,Manufacture of other electronic consumer goods n.e.c. (this includes non-,,,,,,,,
,,,television video camera),,,,,,,,
265,,,"manufacture of measuring, testing, navigating and control equipment;",,,,,,,,
,,,watches and clocks,,,,,,,,
,2651,,"manufacture of measuring, testing, navigating and control equipment",,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of telephone answering machines, see 2630",,,,,,,,
,,,"- manufacture of medical testing and irradiation equipment, see 2660",,,,,,,,
,,,"- manufacture of optical positioning equipment, see 2670",,,,,,,,
,,,"- manufacture of dictating machines, see 2817",,,,,,,,
,,,"- manufacture of simple mechanical measuring tools (e.g. measuring tapes,",,,,,,,,
,,,"calipers), see manufacturing class according to main material used",,,,,,,,
,,,"- installation of industrial process control equipment, see 3320",,,,,,,,
,,26511,Manufacture of physical properties testing and inspection equipment,,,,,,,,
,,26512,Manufacture of automotive emissions testing equipment,,,,,,,,
,,26513,"Manufacture of consumption meters for electricity, water or gas, flow meters",,,,,,,,
,,,and counting meters,,,,,,,,
,,26514,Manufacture of meteorological instruments,,,,,,,,
,,26515,"Manufacture of radar equipment, GPS devices, search, detection, navigation,",,,,,,,,
,,,aeronautical and nautical equipment,,,,,,,,
,,26516,Manufacture of laboratory analytical instruments and miscellaneous,,,,,,,,
,,,"laboratory apparatus for measuring and testing such as scales, balances,",,,,,,,,
,,,incubators etc.,,,,,,,,
,,26517,Manufacture of industrial process control equipment,,,,,,,,
,,26519,Manufacture of other measuring n.e.c.,,,,,,,,
,2652,,manufacture of watches and clocks,,,,,,,,
,,,This class excludes:,,,,,,,,
,,,"- manufacture of non-metal watch bands (textile, leather, plastic), see 1512",,,,,,,,
,,,"- manufacture of watch bands of precious metal, see 3211",,,,,,,,
,,,"- manufacture of watch bands of non-precious metal, see 3212",,,,,,,,
,,26521,"Manufacture of watches and clocks, including instrument panel clocks",,,,,,,,
,,,(except time-recording equipment),,,,,,,,
,,26522,"Manufacture of components for clocks and watches (springs, jewels, dials,",,,,,,,,
,,,"hands, plates, bridges and other parts); watch and clock cases, including",,,,,,,,
,,,cases of precious metals,,,,,,,,
,,26523,"Manufacture of time-recording equipments such as time-clock, parking",,,,,,,,
,,,meters etc.,,,,,,,,
,,26529,Manufacture of other watches and clocks n.e.c.,,,,,,,,
266,,,"manufacture of irradiation, electromedical and electrotherapeutic",,,,,,,,
,,,equipment,,,,,,,,
,2660,,"manufacture of irradiation, electromedical and electrotherapeutic",,,,,,,,
,,,equipment,,,,,,,,
,,,This class includes manufacture of electromedical and electrotherapeutic,,,,,,,,
,,,"apparatus, such as MRI scanner, CT scanner, medical ultrasound equipment,",,,,,,,,
